episode,task_id,episode_reward,mean_queue,mean_wait,final_score,throughput,throughput_efficiency,step_count,latency_ms,is_hallucinated,is_all_keep,is_valid_action,has_central_action,raw_completion,reward_breakdown.queue_reward,reward_breakdown.wait_reward,reward_breakdown.throughput_reward,reward_breakdown.switch_penalty_reward,reward_breakdown.central_reward,reward_breakdown.stability_bonus,reward_breakdown.coordination_bonus,reward_breakdown.fairness_reward,reward_breakdown.total,action.local_actions.NW,action.local_actions.NE,action.local_actions.SW,action.local_actions.SE,action.central_action.balance_penalty,action.central_action.switch_penalty,action.central_action.queue_urgency_weight,action.central_action.corridor_priority,action.central_action.emergency_boost
54,hard_multi,1.5012840261153293,,99.018,0.48867499999999997,55.463,0.2796,30,24.36995506286621,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""balance_penalty"":0.3,""switch_penalty"":0.2}}",0.1526,-0.22,0.18,-0.06,-0.0175,0.0118,0.004,0.016,0.0669,PHASE_2,PHASE_3,SWITCH,KEEP,0.3,0.2,,,
55,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,22.50528335571289,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
56,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,26.279687881469727,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
57,hard_multi,3.7892500404546916,,101.804,0.439255,64.967,0.3099,30,24.68252182006836,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""PHASE_0"",""SW"":""PHASE_1"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1493,-0.22,0.18,-0.06,0.0312,-0.04,-0.016,0.0179,0.0424,SWITCH,PHASE_0,PHASE_1,KEEP,,,0.4,0.3,
58,hard_multi,-1.4066106370868994,,99.728,0.425265,32.281,0.1944,30,29.222726821899414,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""PHASE_0"",""SW"":""KEEP"",""SE"":""PHASE_2""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.149,-0.22,0.1618,-0.05,-0.0263,0.01,0.004,0.0165,0.045,SWITCH,PHASE_0,KEEP,PHASE_2,,,0.4,0.3,
59,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,23.725509643554688,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
60,hard_multi,1.108501209302135,,97.332,0.47996500000000003,43.726,0.295,30,22.607088088989258,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.04,0.0023,0.0139,-0.02,0.0149,0.0839,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
61,hard_multi,0.36750692748381253,,107.125,0.45753,37.741,0.2371,30,30.123233795166016,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_3"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""emergency_boost"":0.5,""queue_urgency_weight"":0.3}}",0.1457,-0.22,0.18,-0.04,-0.0022,0.0315,-0.02,0.0214,0.0964,PHASE_3,SWITCH,KEEP,PHASE_0,,,0.3,,0.5
62,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,22.397994995117188,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
63,hard_multi,0.9905726350036966,,101.62,0.47363500000000003,40.805,0.2418,30,23.850202560424805,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.3}}",0.1526,-0.22,0.18,-0.03,0.0015,0.0335,0.004,0.0177,0.1393,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.3,0.5,
64,hard_multi,1.5434418467539768,,98.465,0.49396999999999996,56.912,0.2869,30,24.091243743896484,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.06,-0.0169,-0.0337,0.004,0.0156,0.0219,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.4,0.3,
65,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,24.176597595214844,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
66,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,24.14846420288086,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
67,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,23.499727249145508,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
68,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,24.892330169677734,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
69,hard_multi,1.5770530459323506,,98.967,0.48500499999999996,55.553,0.2785,30,26.047945022583008,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""emergency_boost"":0.5,""queue_urgency_weight"":0.2}}",0.1527,-0.22,0.18,-0.06,-0.0173,0.0061,0.004,0.016,0.0614,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.2,,0.5
70,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,23.283958435058594,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
71,hard_multi,0.9904948607115257,,101.676,0.473275,40.77,0.2408,30,24.553298950195312,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1526,-0.22,0.18,-0.03,0.0014,0.0334,0.004,0.0178,0.1392,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.2,0.5,
72,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,25.362491607666016,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
73,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,24.967670440673828,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
74,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,25.69103240966797,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
75,hard_multi,1.1116293483971498,,97.381,0.4796499999999999,43.684,0.2944,30,24.01590347290039,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1528,-0.22,0.18,-0.04,0.0022,0.0139,-0.02,0.0149,0.0839,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
76,hard_multi,1.5436420142447802,,98.451,0.49401000000000006,57.0,0.2871,30,28.37991714477539,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.06,-0.0172,-0.0312,0.004,0.0156,0.0242,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.5,0.3,
77,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,27.78315544128418,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
78,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,23.655414581298828,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
79,hard_multi,1.5436420142447802,,98.451,0.49401000000000006,57.0,0.2871,30,26.618480682373047,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.06,-0.0172,-0.0312,0.004,0.0156,0.0242,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.5,0.3,
80,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,22.742271423339844,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
81,hard_multi,0.7656247104352266,,103.736,0.40782,50.854,0.1876,30,22.742033004760742,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""SWITCH"",""NE"":""PHASE_0"",""SW"":""PHASE_1"",""SE"":""PHASE_2""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1474,-0.22,0.18,-0.06,0.0269,-0.04,-0.016,0.0192,0.0375,SWITCH,PHASE_0,PHASE_1,PHASE_2,,,0.4,0.3,
82,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,24.210214614868164,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
83,hard_multi,1.108501209302135,,97.332,0.47996500000000003,43.726,0.295,30,25.034189224243164,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.04,0.0023,0.0139,-0.02,0.0149,0.0839,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
84,hard_multi,1.1116293483971498,,97.381,0.4796499999999999,43.684,0.2944,30,27.407407760620117,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_1"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1528,-0.22,0.18,-0.04,0.0022,0.0139,-0.02,0.0149,0.0839,PHASE_1,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
85,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,24.217844009399414,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
86,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,25.073766708374023,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
87,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,23.326396942138672,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
88,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,24.487733840942383,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
89,hard_multi,0.9905726350036966,,101.62,0.47363500000000003,40.805,0.2418,30,27.079105377197266,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.3}}",0.1526,-0.22,0.18,-0.03,0.0015,0.0335,0.004,0.0177,0.1393,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.3,0.5,
90,hard_multi,1.5436420142447802,,98.451,0.49401000000000006,57.0,0.2871,30,22.01557159423828,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""SWITCH"",""SE"":""KEEP""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1529,-0.22,0.18,-0.06,-0.0172,-0.0312,0.004,0.0156,0.0242,PHASE_2,PHASE_3,SWITCH,KEEP,,,0.5,0.3,
91,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,26.656627655029297,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
92,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,25.727272033691406,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
93,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,24.672746658325195,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
94,hard_multi,0.9904948607115257,,101.676,0.473275,40.77,0.2408,30,25.04277229309082,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""corridor_priority"":0.5,""queue_urgency_weight"":0.2}}",0.1526,-0.22,0.18,-0.03,0.0014,0.0334,0.004,0.0178,0.1392,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.2,0.5,
95,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,25.760412216186523,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
96,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,23.337125778198242,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
97,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,23.8034725189209,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
98,hard_multi,-0.25426604164227307,,108.468,0.43241999999999997,37.537,0.2338,30,27.315139770507812,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""PHASE_3"",""SW"":""KEEP"",""SE"":""SWITCH""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1484,-0.22,0.18,-0.06,-0.0198,0.0094,0.004,0.0223,0.0643,PHASE_2,PHASE_3,KEEP,SWITCH,,,0.5,0.3,
99,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,22.57513999938965,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
100,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,26.537179946899414,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
101,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,22.97186851501465,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
102,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,25.40421485900879,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
103,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,31.538009643554688,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
104,hard_multi,0.9264905935846167,,101.946,0.471445,40.656,0.2376,30,27.89473533630371,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""balance_penalty"":0.3,""switch_penalty"":0.2}}",0.1525,-0.22,0.18,-0.03,0.0012,0.0334,0.004,0.018,0.1391,PHASE_2,SWITCH,KEEP,PHASE_0,0.3,0.2,,,
105,hard_multi,0.9795443129181548,,101.544,0.47389000000000003,40.864,0.2425,30,23.682594299316406,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.4,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1397,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.4,0.3,
106,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,24.56974983215332,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
107,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,23.16880226135254,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
108,hard_multi,0.9937453769684265,,101.49,0.47413500000000003,40.897,0.2429,30,23.151874542236328,0.0,0.0,1.0,1.0,"{""local_actions"":{""NW"":""PHASE_2"",""NE"":""SWITCH"",""SW"":""KEEP"",""SE"":""PHASE_0""},""central_action"":{""queue_urgency_weight"":0.5,""corridor_priority"":0.3}}",0.1527,-0.22,0.18,-0.03,0.0018,0.0336,0.004,0.0177,0.1398,PHASE_2,SWITCH,KEEP,PHASE_0,,,0.5,0.3,
